request_id,pickup_location,dropoff_location,request_time,deadline,priority,package_size,status,delivery_time,turnaround_time
85,32,19,750.0,867.1259230845683,0,1,DELIVERED,878.6744012095064,128.6744012095064
86,25,24,750.0,860.1368565497396,1,1,DELIVERED,855.8495940300877,105.8495940300877
87,48,43,750.0,821.5370634829746,2,2,DELIVERED,792.886655779443,42.886655779443004
88,26,38,750.0,781.4168621696109,0,2,EXPIRED,,
89,30,7,750.0,842.1795578895741,1,1,DELIVERED,829.2888063254944,79.28880632549442
90,45,8,750.0,842.1611794033206,0,1,DELIVERED,836.8089216087496,86.80892160874964
91,27,0,750.0,812.903613090357,0,1,EXPIRED,,
92,5,29,780.0,860.3620969018808,1,3,DELIVERED,870.7817368226065,90.78173682260649
93,45,4,780.0,881.6333748429153,0,1,EXPIRED,,
94,8,11,780.0,855.9522681713604,1,1,DELIVERED,796.1639218909278,16.16392189092778
95,3,35,780.0,817.8793797625002,0,3,EXPIRED,,
96,6,4,810.0,908.1343303228763,0,3,EXPIRED,,
97,18,8,810.0,869.4115235272,0,3,DELIVERED,879.9037315987763,69.90373159877629
98,33,3,810.0,844.6607299859535,0,1,EXPIRED,,
99,9,27,810.0,844.2107260474592,0,1,DELIVERED,853.8189522018671,43.81895220186709
100,33,24,810.0,879.9513449087921,1,3,EXPIRED,,
101,26,42,810.0,919.8407385501329,0,3,EXPIRED,,
102,19,0,810.0,890.9464481803349,1,3,DELIVERED,899.391336256153,89.39133625615295
103,21,0,810.0,914.4620899343531,0,3,DELIVERED,869.1846812641098,59.18468126410983
104,47,30,840.0,943.6542382301582,0,1,DELIVERED,931.0511322779814,91.05113227798142
105,37,33,840.0,913.067553292757,2,1,DELIVERED,878.3348375186087,38.33483751860865
106,37,2,840.0,896.6241687746882,0,3,EXPIRED,,
107,23,9,840.0,924.6421752795219,0,1,DELIVERED,896.9046468078903,56.904646807890344
108,42,41,840.0,890.3429877109787,0,2,EXPIRED,,
109,37,39,840.0,938.9874584599464,1,1,DELIVERED,933.5855081022797,93.58550810227973
110,49,4,840.0,922.3562982679068,0,1,DELIVERED,942.011999264233,102.01199926423305
111,12,19,870.0,935.4722442104365,1,2,DELIVERED,900.5850565431567,30.585056543156725
112,7,15,870.0,949.921832230953,1,2,DELIVERED,919.4034446441981,49.40344464419809
113,10,1,870.0,951.6479264709387,0,1,DELIVERED,939.5299926605184,69.52999266051836
114,20,31,870.0,915.9374029857561,0,3,DELIVERED,908.449570703494,38.44957070349403
115,37,31,900.0,1009.1641347040586,2,1,DELIVERED,940.7840272757912,40.78402727579123
116,2,1,900.0,955.9366073363576,0,2,DELIVERED,961.6249605793438,61.62496057934379
117,31,20,900.0,1004.8386707703899,0,3,DELIVERED,965.3536823693612,65.3536823693612
118,11,5,900.0,976.0993236909346,1,3,DELIVERED,974.6020801191764,74.60208011917643
119,23,35,900.0,973.7556288694395,0,2,DELIVERED,972.5998941362756,72.59989413627557
120,31,40,900.0,945.1972617033356,0,3,DELIVERED,919.3826522350596,19.382652235059595
121,10,28,930.0,1005.6982054369712,0,3,DELIVERED,1007.0112559027297,77.01125590272966
122,14,40,930.0,1025.9573268598647,1,3,EXPIRED,,
123,34,42,930.0,984.03675067107,0,1,DELIVERED,986.2529798674236,56.25297986742362
124,48,12,930.0,970.6794553027084,0,1,DELIVERED,953.4958607140533,23.495860714053265
125,7,37,930.0,976.1185445395363,0,1,EXPIRED,,
126,24,10,960.0,1024.8126517846692,0,2,DELIVERED,987.7660817970761,27.76608179707614
127,18,25,960.0,1076.539565892381,0,1,EXPIRED,,
128,30,4,960.0,1045.1836719992716,1,1,DELIVERED,1059.030068571881,99.03006857188097
129,0,36,960.0,1066.9092653881962,0,3,DELIVERED,1024.5054743740586,64.50547437405862
130,41,37,960.0,1005.7130866122468,1,1,DELIVERED,1015.8367649621354,55.83676496213536
131,2,32,960.0,993.6840549936911,0,3,DELIVERED,996.9480475968036,36.948047596803576
132,28,12,960.0,1026.3817477896334,2,2,DELIVERED,1030.571394566856,70.57139456685604
133,33,49,960.0,1057.1561674697045,1,3,EXPIRED,,
134,28,2,960.0,1064.660924828553,0,2,EXPIRED,,
135,25,27,960.0,1030.0116150962485,1,2,DELIVERED,988.5191423772227,28.519142377222693
136,13,24,960.0,1028.4172495915582,0,1,DELIVERED,1018.434845221207,58.434845221206956
137,24,32,960.0,1076.5273086381276,1,2,DELIVERED,1078.4294804488381,118.42948044883815
138,3,1,960.0,995.7510847843537,0,1,DELIVERED,1002.3766127754495,42.37661277544953
139,36,0,960.0,1050.1202925668713,0,2,DELIVERED,1057.198809134323,97.19880913432303
140,46,16,990.0,1024.4365043487974,0,1,DELIVERED,1029.775444961883,39.77544496188307
141,33,25,990.0,1063.5194865711333,0,1,EXPIRED,,
142,39,25,990.0,1040.3255669001053,0,3,EXPIRED,,
143,33,26,990.0,1103.4971159767867,1,1,DELIVERED,1132.8056798668704,142.80567986687038
144,42,35,990.0,1024.4378088398842,0,2,EXPIRED,,
145,23,9,990.0,1073.342645997859,1,1,DELIVERED,1059.9976667218855,69.99766672188548
146,3,36,990.0,1088.4031411622857,0,2,DELIVERED,1094.2120424943166,104.21204249431662
147,44,48,990.0,1036.5691191024862,0,3,EXPIRED,,
148,34,4,990.0,1034.8878136915569,0,2,DELIVERED,1055.0447472452315,65.04474724523152
149,16,42,1020.0,1124.9151937531717,2,1,EXPIRED,,
150,31,7,1020.0,1106.4078013688097,0,3,EXPIRED,,
151,18,33,1020.0,1125.8650934210577,0,2,EXPIRED,,
152,0,26,1020.0,1117.5489747378365,1,1,DELIVERED,1102.751525761358,82.75152576135793
153,34,19,1020.0,1069.595240891901,0,2,EXPIRED,,
154,7,26,1020.0,1059.0411794712873,0,1,EXPIRED,,
155,29,11,1020.0,1069.5392906522902,0,3,EXPIRED,,
156,16,13,1020.0,1136.6104251733086,0,1,EXPIRED,,
157,45,13,1050.0,1128.2120073410426,0,3,DELIVERED,1101.784768877053,51.78476887705301
158,21,41,1050.0,1139.7629729800185,0,2,EXPIRED,,
159,1,18,1050.0,1140.0269133138463,0,1,EXPIRED,,
160,46,0,1050.0,1113.5076388715743,0,2,DELIVERED,1110.1133930470585,60.11339304705848
161,48,24,1050.0,1160.4606478125124,0,2,DELIVERED,1088.2028892457265,38.20288924572651
162,15,0,1050.0,1162.7813314601492,0,2,EXPIRED,,
163,47,19,1080.0,1127.5448492073144,1,3,DELIVERED,1111.671784788324,31.671784788323976
164,12,38,1080.0,1170.365459289834,0,1,EXPIRED,,
165,15,1,1080.0,1173.876337632092,0,3,DELIVERED,1166.5985585971582,86.59855859715822
166,3,37,1080.0,1135.1790237798336,0,2,EXPIRED,,
167,29,10,1080.0,1144.8521443383127,1,2,DELIVERED,1142.1667230468731,62.16672304687313
168,23,40,1110.0,1140.904228294935,0,2,EXPIRED,,
169,40,5,1110.0,1156.8216566805106,0,1,DELIVERED,1179.853808670828,69.8538086708279
170,21,22,1110.0,1207.9439285806545,2,1,DELIVERED,1159.1643830178994,49.164383017899354
171,11,43,1110.0,1221.8156288607058,0,1,DELIVERED,1254.168659524933,144.168659524933
172,48,4,1110.0,1187.220507601706,1,1,DELIVERED,1135.2195528747955,25.219552874795454
173,13,29,1110.0,1165.1229719900075,1,1,DELIVERED,1173.211219111307,63.211219111306946
174,22,29,1110.0,1199.5319584791287,2,1,DELIVERED,1205.4977622776619,95.49776227766188
175,39,46,1110.0,1229.5107831016073,1,3,EXPIRED,,
176,45,36,1110.0,1218.7272366140078,2,2,DELIVERED,1136.3232797532353,26.323279753235283
177,44,25,1110.0,1212.8484739616533,1,2,DELIVERED,1170.3569771514328,60.35697715143283
178,24,40,1110.0,1185.7351925709568,1,1,EXPIRED,,
179,19,45,1140.0,1242.6037026970555,0,2,DELIVERED,1253.6818145654447,113.68181456544471
180,28,6,1140.0,1216.0431549581895,0,3,DELIVERED,1228.9063749557804,88.9063749557804
181,33,43,1140.0,1207.9646851970388,1,2,EXPIRED,,
182,38,34,1140.0,1244.8121224580948,1,1,EXPIRED,,
183,49,6,1140.0,1210.8792977788723,1,2,DELIVERED,1227.0556170447803,87.05561704478032
184,3,42,1140.0,1202.8542810023341,0,2,DELIVERED,1212.5077736322335,72.50777363223347
185,44,2,1140.0,1257.249732221903,1,1,EXPIRED,,
186,35,41,1170.0,1265.783523233973,0,2,DELIVERED,1250.5200930161238,80.52009301612384
187,21,19,1170.0,1248.7584287946913,0,3,EXPIRED,,
188,20,34,1170.0,1268.8179215352702,0,3,DELIVERED,1266.8159182412599,96.81591824125985
189,20,43,1170.0,1240.3158327463068,0,2,EXPIRED,,
190,44,46,1170.0,1203.6527140921226,2,3,DELIVERED,1196.7046768477667,26.704676847766677
191,7,34,1170.0,1244.0390472727609,0,2,EXPIRED,,
192,13,29,1170.0,1208.0299951251516,0,2,DELIVERED,1192.1289089180257,22.128908918025672
193,31,20,1170.0,1217.3685607145126,0,3,DELIVERED,1236.9476207578243,66.94762075782432
194,11,1,1170.0,1288.5358668597305,2,2,DELIVERED,1217.1942278709055,47.19422787090548
195,22,10,1170.0,1262.404371055337,0,2,EXPIRED,,
196,41,23,1200.0,1247.6171426593348,1,1,EXPIRED,,
197,31,34,1200.0,1315.6256735235975,1,1,DELIVERED,1352.2755051624506,152.2755051624506
198,47,25,1200.0,1290.3228578439923,0,3,DELIVERED,1272.8031792276674,72.80317922766744
199,19,36,1200.0,1280.1306125681815,1,1,EXPIRED,,
200,19,2,1200.0,1254.0209359288895,2,3,DELIVERED,1241.156295938988,41.15629593898802
201,22,40,1200.0,1305.6706564745202,0,2,DELIVERED,1285.05464810448,85.05464810448007
202,14,6,1200.0,1312.9277401388695,0,1,DELIVERED,1301.2786521724383,101.27865217243834
203,33,10,1200.0,1265.9638660458781,1,1,DELIVERED,1283.548967966634,83.54896796663411
204,14,49,1230.0,1344.968530733733,0,1,DELIVERED,1314.8529357499524,84.8529357499524
205,45,40,1230.0,1291.1245713278634,0,3,DELIVERED,1297.9761109810668,67.97611098106677
206,22,48,1230.0,1279.9032849099624,0,1,DELIVERED,1286.2072512400473,56.2072512400473
207,43,29,1260.0,1321.6241070082299,2,3,DELIVERED,1312.1021957971157,52.102195797115655
208,12,21,1290.0,1360.2492366714407,0,2,DELIVERED,1334.820694270495,44.820694270495096
209,27,4,1290.0,1364.8082262462888,1,2,DELIVERED,1320.8556789067122,30.855678906712228
210,29,31,1290.0,1331.0365244980205,0,3,DELIVERED,1339.1481227554818,49.148122755481836
211,45,39,1290.0,1372.6281127503573,1,2,DELIVERED,1348.7321934991173,58.73219349911733
212,28,0,1320.0,1413.3175506163377,1,2,DELIVERED,1370.4330768617526,50.433076861752625
213,11,1,1320.0,1375.992897295868,0,3,DELIVERED,1364.2883464132706,44.288346413270574
214,8,32,1320.0,1422.3874241659964,0,1,DELIVERED,1337.6776856277265,17.677685627726532
215,40,15,1320.0,1379.4889467315254,0,2,DELIVERED,1360.8215423171578,40.821542317157764
216,17,37,1320.0,1419.4190828895164,1,3,DELIVERED,1376.4622339600494,56.46223396004939
217,32,28,1350.0,1405.6136215082327,0,1,DELIVERED,1374.7560927973861,24.756092797386145
218,31,45,1350.0,1422.1937062213717,0,3,DELIVERED,1391.1034287836274,41.10342878362735
219,10,19,1410.0,1471.5245133602396,0,2,DELIVERED,1431.4067103707957,21.406710370795736
